Priority,Category,Stakeholder,Country,City/Region,Target Department or Role,Opportunity Lane,Recommended First Ask,Asset to Send,Relationship Route,Verification Status,Contact Person,Email,Phone,Status,Next Action,Notes
High,Official Football,FUFA,Uganda,Kampala,AFCON/local organising liaison; events; communications; competitions,"Culture programming; fan-zone experience; ceremony concepts; choreography",Request guidance on official AFCON culture/tourism contact,"One-page profile; formal intro letter; concept note",Warm intro preferred,Needs verification,,,,Not contacted,Identify official AFCON-linked contact,"Do not assume FUFA is recruiting for culture roles; ask for correct channel."
High,Government Sport,Ministry of Education and Sports,Uganda,Kampala,Sports planning; major events; national teams,"Ceremony planning; sport-culture link; national presentation",Request referral to AFCON planning or local organising structure,"Formal intro letter; one-page profile",Formal letter,Needs verification,,,,Not contacted,Identify major events office,"Use respectful government language."
High,Tourism,Ministry of Tourism Wildlife and Antiquities,Uganda,Kampala,Tourism development; heritage; visitor experience,"Tourism-sector learning; cultural tourism strategy; visitor experience",Request meeting on AFCON tourism readiness and attachment/shadowing options,"Formal intro letter; concept summary",Formal letter plus referral,Needs verification,,,,Not contacted,Find PS/technical department route,"Focus on learning how tourism sector is preparing."
High,Tourism,Uganda Tourism Board,Uganda,Kampala,Destination marketing; MICE; domestic/regional tourism,"Destination marketing; diaspora visitor experiences; cultural tourism",Request meeting with destination marketing or MICE team,"One-page profile; concept note",Warm intro or LinkedIn,Needs verification,,,,Not contacted,Identify official contact page and department,"Strong fit for AFCON visitor experience."
High,Culture,Uganda National Cultural Centre / National Theatre,Uganda,Kampala,Programming; theatre; cultural development,"Performance programming; choreography; youth mentorship; cultural showcase",Request programming discussion and possible collaboration,"One-page profile; portfolio link; concept note",Creative-sector intro,Needs verification,,,,Not contacted,Identify programming contact,"Best cultural institution entry point."
Medium,Culture,Uganda Museum,Uganda,Kampala,Education; exhibitions; visitor learning,"Heritage storytelling; visitor orientation; cultural routes",Request learning visit and cultural tourism discussion,"One-page profile; concept summary",Formal letter,Needs verification,,,,Not contacted,Identify public programmes contact,"Useful for visitor storytelling and cafe-arts heritage angle."
High,City Government,Kampala Capital City Authority,Uganda,Kampala,Events; culture; tourism; city beautification,"City activations; fan routes; public cultural programming",Request guidance on city activation and public event opportunities,"Formal intro letter; concept note",Formal letter plus referral,Needs verification,,,,Not contacted,Identify events/culture/tourism contact,"Kampala likely central to visitor movement."
Medium,City Government,Entebbe Municipal Council / local tourism actors,Uganda,Entebbe,Hospitality; airport corridor; city tourism,"Airport visitor welcome; hotel cultural nights; tourism orientation",Request referral to tourism/hospitality contacts,"Concept summary; one-page profile",Local referral,Needs verification,,,,Not contacted,Map hotels and venues,"Entebbe may matter for arrival and accommodation flows."
High,Hospitality,Kampala Serena Hotel,Uganda,Kampala,Events; sales; guest experience,"VIP hospitality cultural activation; cultural evening; diaspora reception",Request meeting with events/marketing team,"One-page profile; concept note",Warm intro,Needs verification,,,,Not contacted,Verify correct department,"Private sector may move faster than government."
High,Hospitality,Sheraton Kampala Hotel,Uganda,Kampala,Events; sales; guest experience,"Hotel cultural nights; sponsor receptions; guest entertainment",Request meeting with events/marketing team,"One-page profile; concept note",Warm intro,Needs verification,,,,Not contacted,Verify correct department,"Target as hospitality pilot route."
Medium,Hospitality,Protea Hotel by Marriott Kampala,Uganda,Kampala,Events; guest experience,"Hotel cultural programming; visitor experience",Request exploratory meeting,"One-page profile; concept summary",Warm intro or email,Needs verification,,,,Not contacted,Verify current events contact,"Good for practical hospitality learning."
Medium,Hospitality,Speke Resort Munyonyo / Commonwealth Resort,Uganda,Kampala/Munyonyo,Events; conferences; VIP hospitality,"High-level receptions; cultural nights; diaspora events",Request meeting with events team,"One-page profile; concept note",Warm intro,Needs verification,,,,Not contacted,Identify events department,"Useful for high-level cultural reception concept."
High,Events,Uganda event production companies,Uganda,Kampala,Production; stage management; activations,"Technical production; ceremonies; fan-zone implementation",Request collaboration or associate creative role,"Profile; portfolio; concept note",Creative-sector referral,Needs verification,,,,Not contacted,Build list of 10 companies,"Do not list names until verified."
Medium,Creative,Creative agencies and experiential marketing firms,Uganda,Kampala,Brand activation; content; experience design,"Sponsor activations; fan-zone cultural programming",Request creative collaboration meeting,"Profile; concept one-pager",LinkedIn/referral,Needs verification,,,,Not contacted,Build list of agencies,"Could connect brands to cultural programming."
Medium,Media,Ugandan media houses,Uganda,Kampala,Features; culture desk; sports desk; lifestyle desk,"Diaspora creative story; cultural tourism visibility",Pitch feature on AFCON culture and diaspora creative economy,"Short media bio; images; profile link",Media intro,Needs verification,,,,Not contacted,Identify culture/sports journalists,"Media can build public credibility."
Medium,Sponsor,Telecom companies,Uganda,Kampala,Brand/marketing/sponsorship departments,"Fan engagement; youth performance; digital storytelling",Request brand activation discussion,"Concept note; sponsorship version",Referral preferred,Needs verification,,,,Not contacted,Identify sponsor managers,"Approach after profile and concept are polished."
Medium,Sponsor,Banks and financial brands,Uganda,Kampala,CSR; sponsorship; brand marketing,"Creative economy sponsorship; diaspora reception; youth mentorship",Request sponsorship/CSR conversation,"Concept note; budget-lite proposal",Warm intro,Needs verification,,,,Not contacted,Map likely sponsors,"Need specific value proposition."
Medium,Sponsor,Beverage and food brands,Uganda,Kampala,Experiential marketing; events,"Fan-zone cultural nights; cafe arts pop-up; food/music experience",Request activation partnership discussion,"Concept note; pilot menu/event idea",Warm intro,Needs verification,,,,Not contacted,Map brand contacts,"Strong cafe-arts connection."
Medium,Tourism,Tour operators and safari companies,Uganda,Kampala/Entebbe,Product development; sales; guide operations,"Football + culture visitor packages; city cultural routes",Request learning meeting on AFCON visitor products,"One-page profile; research questions",Tourism referral,Needs verification,,,,Not contacted,Build list of 10 operators,"Useful for cafe arts tourism linkage."
Medium,Culture,Art galleries and cultural venues,Uganda,Kampala,Programming; exhibitions; events,"Football art pop-up; cultural nights; cafe arts testing",Request pilot collaboration or learning visit,"Concept summary; profile",Creative intro,Needs verification,,,,Not contacted,Map galleries and venues,"Potential pilot partners."
Medium,Culture,Dance companies and performance groups,Uganda,Kampala,Artistic directors; company managers,"Performer network; youth mentorship; choreography labs",Request collaboration and performer mapping,"Profile; portfolio; concept note",Creative intro,Needs verification,,,,Not contacted,Identify local dance leaders,"Rachael's choreography profile is strong here."
Medium,Diaspora,UK-Uganda cultural networks,UK/Uganda,London/Kampala,Arts networks; diaspora associations,"Diaspora creative tourism; UK-Uganda bridge; visitor reception",Request introductions to Uganda-facing creative/tourism contacts,"Profile; formal intro; website link",Rachael's existing network,Needs verification,,,,Not contacted,Map diaspora networks,"High strategic fit."
Low,Regional,Kenya Tourism Board / Kenyan tourism actors,Kenya,Nairobi,Destination marketing; events; culture,"Regional Pamoja learning; cross-border cultural programming",Monitor and request regional learning contacts,"Short profile; concept summary",Regional referral,Needs verification,,,,Not contacted,Research official channels,"Secondary phase after Uganda contacts."
Low,Regional,Tanzania Tourist Board / Tanzanian tourism actors,Tanzania,Dar es Salaam/Arusha,Zanzibar tourism; city tourism; culture,"Regional Pamoja learning; cross-border cultural programming",Monitor and request regional learning contacts,"Short profile; concept summary",Regional referral,Needs verification,,,,Not contacted,Research official channels,"Secondary phase after Uganda contacts."
High,Pilot Venue,Cafe/gallery/restaurant pilot venue,Uganda,Kampala/Entebbe,Owner; manager; events lead,"Cafe arts pop-up; football-culture night; visitor experience test",Request small pilot conversation,"Pilot concept; profile; sample run-of-show",Personal referral,Needs verification,,,,Not contacted,Identify 5 realistic venues,"Best route for evidence building."
